incident_id,control_id,barrier_type_ps,barrier_level,lod_industry_standard,barrier_condition,barrier_role_norm,source_agency,provider_bucket,supporting_text_count,lod_numeric,pathway_sequence,total_prev_barriers_incident,total_mit_barriers_incident,total_failed_incident,total_hf_failed_incident,num_threats_in_sequence,num_threats_in_lod_numeric,flag_environmental_threat,flag_electrical_failure,flag_procedural_error,flag_mechanical_failure,y_fail,y_hf_fail,hf_contrib_binary,barrier_failed_expert,barrier_failed_human_expert,barrier_failed_rule,failed_mismatch,barrier_status,barrier_type,line_of_defense,flag_communication_breakdown,is_degradation_control,barrier_family,incident_has_threat_data
cox-mp-73-cf-27-jan-2022,C-004,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,3,4,2,1,2,1,0,3,3,1,0,0,1,0,0,1,0,0,0,0,active,engineering,recovery,0,0,active_fire_protection_firefighting,1
cox-wd-73-c-25-feb-2022-ca-review,C-005,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,BSEE,bsee,2,3,1,2,1,2,0,1,1,0,0,0,1,0,0,0,0,0,1,1,not_installed,engineering,3rd,0,0,gas_detection_atmospheric_monitoring,1
eb-165-a-fieldwood-09-may-2015,C-008,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,2,4,1,6,1,6,2,1,1,1,0,0,0,0,0,1,0,0,0,0,active,engineering,recovery,0,0,active_fire_protection_firefighting,1
ec-328-b-arena-offshore-23-jun-2014,C-006,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,0,2,0,0,4,4,1,0,1,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
ec-328-b-arena-offshore-23-jun-2014,C-007,hardware_barrier,mitigation,Process Containment,degraded,contain,BSEE,bsee,1,3,2,0,2,0,0,4,4,1,0,1,1,0,0,1,0,0,0,0,degraded,engineering,3rd,0,0,spill_containment_environmental_mitigation,1
ec207120ecop2025-may-2023,C-002,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,BSEE,bsee,4,2,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
ev2010r20-20wr20249,C-003,hardware_barrier,mitigation,Structural Integrity,ineffective,contain,BSEE,bsee,3,4,1,3,2,2,1,1,1,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,recovery,0,0,physical_protection_retention_restraints,1
ev2010r20-20wr20249,C-010,hardware_barrier,mitigation,Structural Integrity,degraded,other,BSEE,bsee,2,4,1,3,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,degraded,engineering,recovery,0,0,physical_protection_retention_restraints,1
fieldwood-energy-offshore-llc-wd-80-d-10-jan-2022,C-005,hardware_barrier,mitigation,Process Containment,ineffective,contain,BSEE,bsee,3,2,1,1,2,2,0,2,2,0,0,1,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,spill_containment_environmental_mitigation,1
fieldwood-energy-offshore-llc-wd-80-d-10-jan-2022,C-008,hardware_barrier,mitigation,Protection Systems,effective,alert_alarm,BSEE,bsee,1,2,1,1,2,2,0,2,2,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,chemical_release_scrubbing_neutralization,1
final-sanitized-acc-inc-report-15-nov-2016,C-002,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,3,2,1,0,3,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
final-sanitized-acc-inc-report-15-nov-2016,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,1,2,1,0,3,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
final-sanitized-acc-inc-report-15-nov-2016,C-006,hardware_barrier,mitigation,Alarm and Operator Response,effective,verify_inspect,BSEE,bsee,2,2,1,0,3,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
g01083-energy-xxi-03-march-2019,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,ineffective,contain,BSEE,bsee,2,1,1,4,1,5,3,3,3,1,0,0,1,1,0,0,1,0,1,0,failed,engineering,1st,0,0,emergency_shutdown_isolation,1
gb-128-shell-19-sep-2017,C-002,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,1,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gb-128-shell-19-sep-2017,C-003,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,BSEE,bsee,1,2,1,1,4,2,0,1,1,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gb-128-shell-19-sep-2017,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,3,2,1,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,emergency_shutdown_isolation,1
gb-128-shell-19-sep-2017,C-005,hardware_barrier,mitigation,Alarm and Operator Response,effective,alert_alarm,BSEE,bsee,1,3,2,1,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,3rd,0,0,alarms_general_alarm_pa,1
gb-128-shell-8-nov-2017,C-008,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,2,1,1,1,6,6,0,0,1,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gb-427-shell-offshore-7-jun-2017,C-004,hardware_barrier,mitigation,Process Containment,effective,detect,BSEE,bsee,2,2,1,1,2,1,0,3,3,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
gb-427-shell-offshore-7-jun-2017,C-005,hardware_barrier,mitigation,Process Containment,effective,isolate_shutdown,BSEE,bsee,3,2,1,1,2,1,0,3,3,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
gb2066820anadarko2015-nov-2024,C-003,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gb_216_hess_corporation_17_feb_2016,C-003,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,BSEE,bsee,2,2,1,1,2,1,1,3,3,0,0,1,1,0,0,0,0,0,0,0,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gb_216_hess_corporation_17_feb_2016,C-004,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,1,2,1,1,3,3,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gc-155-marubeni-oil-and-gas-24-sep-2014,C-003,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,BSEE,bsee,2,2,1,2,1,2,1,1,2,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gc-338a-murphy-exploration-and-production-16-oct-2015,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,1,2,1,1,1,1,0,5,5,1,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
gc-389-12jan22,C-004,hardware_barrier,mitigation,Shutdown Systems,effective,isolate_shutdown,BSEE,bsee,3,4,1,2,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,active,engineering,recovery,0,0,emergency_disconnect_eds,1
gc-389-12jan22,C-005,hardware_barrier,mitigation,Shutdown Systems,effective,isolate_shutdown,BSEE,bsee,2,4,1,2,2,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,active,engineering,recovery,0,0,emergency_disconnect_eds,1
gc-645-27jun22,C-003,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,BSEE,bsee,2,2,1,1,2,2,1,2,2,1,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gc-645-27jun22,C-004,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,2,2,1,1,2,2,1,2,2,1,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,active_fire_protection_firefighting,1
gc468-hess-06-sep-2018,C-001,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,2,2,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,1,0,gas_detection_atmospheric_monitoring,1
gc468-hess-06-sep-2018,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,2,2,1,2,2,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,1,0,emergency_shutdown_isolation,1
gc787a-bp-08-may-2018,C-005,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,BSEE,bsee,3,2,1,1,2,3,1,2,2,0,1,1,0,1,0,0,1,0,0,1,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gc787a-bp-08-may-2018,C-006,hardware_barrier,mitigation,Safety Instrumented Systems,ineffective,isolate_shutdown,BSEE,bsee,2,2,1,1,2,3,1,2,2,0,1,1,0,1,1,1,1,1,1,0,failed,engineering,2nd,0,0,emergency_shutdown_isolation,1
gc807-chevron-11-dec-2016,C-002,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,1,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gc807-chevron-11-dec-2016,C-004,hardware_barrier,mitigation,Process Containment,effective,contain,BSEE,bsee,1,4,2,1,2,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,active,engineering,recovery,0,0,spill_containment_environmental_mitigation,1
gi-22-energy-xxi-gom-llc-16jul2019,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,ineffective,other,BSEE,bsee,3,2,1,3,1,3,0,1,2,0,0,1,0,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,emergency_shutdown_isolation,1
gi-76-25-aug-2018,C-001,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,2,2,1,2,3,2,2,3,3,0,0,1,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
gi-76-25-aug-2018,C-006,hardware_barrier,mitigation,Alarm and Operator Response,effective,other,BSEE,bsee,2,2,1,2,3,2,2,3,3,0,0,1,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
gi-76-25-aug-2018,C-007,hardware_barrier,mitigation,Safety Instrumented Systems,effective,maintain_integrity,BSEE,bsee,2,3,2,2,3,2,2,3,1,0,0,1,1,0,0,1,0,0,0,0,active,engineering,3rd,0,0,emergency_shutdown_isolation,1
gi204720ap20gom20shelf2025-apr-2025,C-010,hardware_barrier,mitigation,Detection Systems,ineffective,control,BSEE,bsee,2,2,1,6,1,5,5,1,2,0,0,1,0,1,1,1,1,1,1,0,failed,engineering,2nd,0,0,remote_monitoring_intervention_subsea,1
hi-a582-chevron-16-mar-2015,C-006,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,3,1,1,0,3,3,0,1,1,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
hi20a2037920w26t20offshore2004-sep-2023,C-005,hardware_barrier,mitigation,Emergency Response,ineffective,emergency_response,BSEE,bsee,2,2,1,0,3,1,0,5,1,0,1,1,0,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,emergency_escape_access_rescue_decon,1
hi20a2037920w26t20offshore2004-sep-2023,C-009,hardware_barrier,mitigation,Alarm and Operator Response,effective,emergency_response,BSEE,bsee,1,4,2,0,3,1,0,5,5,0,1,1,0,0,0,0,0,0,0,0,active,engineering,recovery,0,0,alarms_general_alarm_pa,1
hi20a2037920w26t20offshore2004-sep-2023,C-010,hardware_barrier,mitigation,Emergency Response,effective,other,BSEE,bsee,2,4,2,0,3,1,0,5,5,0,1,1,0,0,0,0,0,0,0,0,active,engineering,recovery,0,0,emergency_escape_access_rescue_decon,1
hi_582_cox_operating_26-may-2022,C-002,hardware_barrier,mitigation,Pressure Relief Systems,effective,control,BSEE,bsee,1,2,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,pressure_relief_blowdown_flare_disposal,1
hi_582_cox_operating_26-may-2022,C-005,hardware_barrier,mitigation,Safety Instrumented Systems,effective,verify_inspect,BSEE,bsee,1,4,2,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,emergency_shutdown_isolation,1
kc-147-bp-01-apr-2015,C-006,hardware_barrier,mitigation,Process Containment,effective,control,BSEE,bsee,3,4,1,2,2,2,0,2,2,0,0,1,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,well_control_barriers_kill,1
kc-147-bp-01-apr-2015,C-007,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,4,1,2,2,2,0,2,2,0,0,1,1,0,0,0,0,0,0,0,active,engineering,recovery,0,0,gas_detection_atmospheric_monitoring,1
kc-829-chevron-30-aug-2014,C-003,hardware_barrier,mitigation,Other,ineffective,contain,BSEE,bsee,2,2,1,3,1,4,0,1,1,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,other_mit_engineering,1
mc-199-01apr2019,C-004,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,3,3,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,active,engineering,3rd,0,0,gas_detection_atmospheric_monitoring,1
mc-29-stone-energy-12-feb-2014,C-003,hardware_barrier,mitigation,Process Containment,effective,contain,BSEE,bsee,2,2,1,2,1,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,spill_containment_environmental_mitigation,1
mc-437-a-shell-30-nov-2021,C-001,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,1,6,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-437-a-shell-30-nov-2021,C-003,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,6,1,0,2,2,1,1,0,0,0,0,1,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
mc-437-a-shell-30-nov-2021,C-005,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,1,3,2,1,6,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,active,engineering,3rd,0,0,active_fire_protection_firefighting,1
mc-437-a-shell-30-nov-2021,C-006,hardware_barrier,mitigation,Detection Systems,effective,detect,BSEE,bsee,1,2,1,1,6,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,remote_monitoring_intervention_subsea,1
mc-437-a-shell-30-nov-2021,C-007,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,3,2,1,6,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,active,engineering,3rd,0,0,emergency_shutdown_isolation,1
mc-437-a-shell-30-nov-2021,C-009,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,1,3,2,1,6,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,active,engineering,3rd,0,0,active_fire_protection_firefighting,1
mc-437-shell-15-jul-2020,C-003,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,3,2,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-437-shell-15-jul-2020,C-004,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,2,2,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
mc-437-shell-15-jul-2020,C-005,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,3,3,2,0,3,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,active,engineering,3rd,0,0,emergency_shutdown_isolation,1
mc-726-hess-13-feb-2015,C-004,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,BSEE,bsee,3,2,1,2,2,2,1,4,4,0,1,0,1,0,1,1,0,1,0,0,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-726-hess-13-feb-2015,C-006,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,2,2,2,1,4,4,0,1,0,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-727-kosmos-energy-09-jan-2021,C-007,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,3,2,1,0,3,0,0,4,4,0,0,1,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-727-kosmos-energy-09-jan-2021,C-008,hardware_barrier,mitigation,Process Containment,effective,isolate_shutdown,BSEE,bsee,2,2,1,0,3,0,0,4,4,0,0,1,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
mc-727-kosmos-energy-09-jan-2021,C-009,hardware_barrier,mitigation,Process Containment,effective,other,BSEE,bsee,1,2,1,0,3,0,0,4,4,0,0,1,1,0,0,1,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
mc-736-a-murphy-exploration-15-sep-2015,C-003,hardware_barrier,mitigation,Protection Systems,degraded,suppress_extinguish,BSEE,bsee,2,2,1,1,3,2,1,3,3,1,0,0,1,0,1,1,0,1,0,0,degraded,engineering,2nd,1,0,active_fire_protection_firefighting,1
mc-736-a-murphy-exploration-15-sep-2015,C-005,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,control,BSEE,bsee,2,2,1,1,3,2,1,3,3,1,0,0,1,1,0,0,1,0,1,0,not_installed,engineering,2nd,1,0,alarms_general_alarm_pa,1
mc-736-a-murphy-exploration-15-sep-2015,C-007,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,1,2,1,1,3,2,1,3,3,1,0,0,1,0,0,1,0,0,0,0,active,engineering,2nd,1,0,emergency_shutdown_isolation,1
mc-772-eni-20-jun-2015,C-002,hardware_barrier,mitigation,Alarm and Operator Response,ineffective,detect,BSEE,bsee,2,2,1,0,2,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-772-eni-20-jun-2015,C-003,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-778-bp-2-aug-2020,C-007,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,3,2,1,3,1,1,0,3,3,1,0,1,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-778-bp-exploration-06-may-2021,C-002,hardware_barrier,mitigation,Other,ineffective,other,BSEE,bsee,2,2,1,2,1,2,1,1,1,0,0,0,1,1,0,0,1,0,1,0,failed,engineering,2nd,0,0,other_mit_engineering,1
mc-809-shell-offshore-13-jan-2021,C-001,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,3,2,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc-809-shell-offshore-13-jan-2021,C-002,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,3,2,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
mc2012720anadarko2009-may-2025,C-002,hardware_barrier,mitigation,Safety Instrumented Systems,effective,other,BSEE,bsee,1,1,1,1,5,4,1,7,7,0,1,1,1,0,0,0,0,0,0,0,active,engineering,1st,0,0,emergency_shutdown_isolation,1
mc2012720anadarko2009-may-2025,C-003,hardware_barrier,mitigation,Protection Systems,ineffective,maintain_integrity,BSEE,bsee,3,2,2,1,5,4,1,7,1,0,1,1,1,1,1,1,1,1,1,0,failed,engineering,2nd,0,0,active_fire_protection_firefighting,1
mc2012720anadarko2009-may-2025,C-006,hardware_barrier,mitigation,Protection Systems,degraded,prevent,BSEE,bsee,2,1,1,1,5,4,1,7,7,0,1,1,1,1,0,0,1,0,0,1,degraded,engineering,1st,0,0,active_fire_protection_firefighting,1
mc2012720anadarko2009-may-2025,C-007,hardware_barrier,mitigation,Protection Systems,ineffective,other,BSEE,bsee,2,3,3,1,5,4,1,7,1,0,1,1,1,1,0,0,1,0,1,0,failed,engineering,3rd,0,0,active_fire_protection_firefighting,1
mc2012720anadarko2009-may-2025,C-008,hardware_barrier,mitigation,Protection Systems,ineffective,contain,BSEE,bsee,2,1,1,1,5,4,1,7,7,0,1,1,1,1,0,0,1,0,1,0,failed,engineering,1st,0,0,active_fire_protection_firefighting,1
mc2054720llog2024-dec-2023,C-002,hardware_barrier,mitigation,Safety Instrumented Systems,effective,detect,BSEE,bsee,2,2,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,active,engineering,2nd,1,0,emergency_shutdown_isolation,1
mc2054720llog2024-dec-2023,C-004,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,2,2,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,active,engineering,2nd,1,0,active_fire_protection_firefighting,1
mc2054720llog2024-dec-2023,C-005,hardware_barrier,mitigation,Protection Systems,effective,suppress_extinguish,BSEE,bsee,1,2,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,active,engineering,2nd,1,0,active_fire_protection_firefighting,1
mc20807-b20shell2006-jan-2023,C-002,hardware_barrier,mitigation,Safety Instrumented Systems,effective,isolate_shutdown,BSEE,bsee,2,2,1,1,4,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,emergency_shutdown_isolation,1
mc20807-b20shell2006-jan-2023,C-003,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,1,2,1,1,4,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc20807-b20shell2006-jan-2023,C-004,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,1,4,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc20807-b20shell2006-jan-2023,C-005,hardware_barrier,mitigation,Process Containment,effective,control,BSEE,bsee,1,2,1,1,4,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,active,engineering,2nd,0,0,well_control_barriers_kill,1
mc20941-a20equinor2010-may-2023,C-002,hardware_barrier,mitigation,Alarm and Operator Response,effective,detect,BSEE,bsee,2,2,1,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,active,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
mc20941-a20equinor2010-may-2023,C-004,hardware_barrier,mitigation,Emergency Response,effective,emergency_response,BSEE,bsee,1,3,2,0,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,active,engineering,3rd,0,0,emergency_escape_access_rescue_decon,1
mc474-bp-11-jul-2018,C-003,hardware_barrier,mitigation,Alarm and Operator Response,degraded,detect,BSEE,bsee,2,2,1,3,2,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,degraded,engineering,2nd,0,0,gas_detection_atmospheric_monitoring,1
