incident_id,incident_embed_text,top_event,incident_type,operating_phase,materials,region,operator,summary,recommendations,pif_tags_json
exxonmobil-baton-rouge-refinery-chemical-release-and-fire,"Top Event: Isobutane release and fire
Incident Type: Loss of Containment with Fire
Operating Phase: production
Materials: isobutane, sulfuric acid
Summary: On November 22, 2016, during removal of an inoperable gearbox on a plug valve in the sulfuric acid alkylation unit, an operator removed four vertical bolts that secured both the gearbox support bracket and the pressure-retaining top-cap. When the operator attempted to open the valve with a pipe wrench, the valve came apart and released approximately 2,000 pounds of pressurized isobutane, forming a flammable vapor cloud. The vapor reached an ignition source (an energized welding machine approximately 70 feet away) within 30 seconds, causing a fire that severely burned four workers (one ExxonMobil employee and three contractors) with third-degree burns.
Recommendations:
Evaluate human factors associated with equipment design and apply the hierarchy of controls to mitigate identified hazards
Establish detailed and accurate written procedures and provide training to ensure workers can perform all anticipated job tasks safely
Upgrade older model plug valves (pre-1984 design) to improved design that attaches gearbox support bracket to valve body flanges rather than pressure-retaining components
Develop written procedures detailing steps for safely removing various types of plug valve gearboxes
Provide formal training to operators on how to remove gearboxes from plug valves and associated hazards
Conduct human factors evaluation during Process Hazard Analysis to identify equipment design and reliability issues
Review existing process safety management practices and equipment design for potential improvements
Performance-Influencing Factor Notes:
low
medium
low
low
low
low
low
low
low",Isobutane release and fire,Loss of Containment with Fire,production,"[""isobutane"", ""sulfuric acid""]","Baton Rouge, Louisiana",ExxonMobil,"On November 22, 2016, during removal of an inoperable gearbox on a plug valve in the sulfuric acid alkylation unit, an operator removed four vertical bolts that secured both the gearbox support bracket and the pressure-retaining top-cap. When the operator attempted to open the valve with a pipe wrench, the valve came apart and released approximately 2,000 pounds of pressurized isobutane, forming a flammable vapor cloud. The vapor reached an ignition source (an energized welding machine approximately 70 feet away) within 30 seconds, causing a fire that severely burned four workers (one ExxonMobil employee and three contractors) with third-degree burns.","[""Evaluate human factors associated with equipment design and apply the hierarchy of controls to mitigate identified hazards"", ""Establish detailed and accurate written procedures and provide training to ensure workers can perform all anticipated job tasks safely"", ""Upgrade older model plug valves (pre-1984 design) to improved design that attaches gearbox support bracket to valve body flanges rather than pressure-retaining components"", ""Develop written procedures detailing steps for safely removing various types of plug valve gearboxes"", ""Provide formal training to operators on how to remove gearboxes from plug valves and associated hazards"", ""Conduct human factors evaluation during Process Hazard Analysis to identify equipment design and reliability issues"", ""Review existing process safety management practices and equipment design for potential improvements""]",null
fieldwood-energy-offshore-llc-wd-80-d-10-jan-2022,"Top Event: Loss of Containment
Incident Type: Well Control and Pollution Event
Operating Phase: production
Materials: crude oil, hydrocarbons, natural gas
Summary: On 10 January 2022, a well control and pollution event occurred at WD 80 D production platform in the Gulf of Mexico. The incident originated from the D-36 well where an alignment pin plug on the tubing head had been leaking gas since 11 January 2021. During a coiled tubing operation to set a plug and clean scale, the tool became stuck downhole and required mechanical extraction, which exacerbated tubing-to-casing communication. This caused the A Annulus pressure to rise from 50 psi to 2000 psi, resulting in excessive fluid returns to the wet oil tank. Approximately 107 gallons (2.5 barrels) of hydrocarbons were spilled. The platform was evacuated and remediation efforts continued through March 2022. Root causes included equipment failure (packer assembly design flaw, alignment pin corrosion due to inadequate coating maintenance), human performance error during coiled tubing operations, and organizational failures in communication and urgency to remediate.
Recommendations:
Operators should maintain proper coatings on wellhead equipment in corrosive saltwater environments
Well intervention plans should account for potential exacerbation of fluid returns and include adequate vessel and fluid handling capacity
Timely reporting of well anomalies to regulatory authorities is critical for prompt remediation
Scale and paraffin buildup should be managed proactively to enable safe well interventions
Management communication systems should ensure field observations are escalated and acted upon promptly
Performance-Influencing Factor Notes:
poor
inadequate
inadequate
poor
inadequate",Loss of Containment,Well Control and Pollution Event,production,"[""crude oil"", ""hydrocarbons"", ""natural gas""]",Gulf of Mexico,Fieldwood Energy Offshore LLC,"On 10 January 2022, a well control and pollution event occurred at WD 80 D production platform in the Gulf of Mexico. The incident originated from the D-36 well where an alignment pin plug on the tubing head had been leaking gas since 11 January 2021. During a coiled tubing operation to set a plug and clean scale, the tool became stuck downhole and required mechanical extraction, which exacerbated tubing-to-casing communication. This caused the A Annulus pressure to rise from 50 psi to 2000 psi, resulting in excessive fluid returns to the wet oil tank. Approximately 107 gallons (2.5 barrels) of hydrocarbons were spilled. The platform was evacuated and remediation efforts continued through March 2022. Root causes included equipment failure (packer assembly design flaw, alignment pin corrosion due to inadequate coating maintenance), human performance error during coiled tubing operations, and organizational failures in communication and urgency to remediate.","[""Operators should maintain proper coatings on wellhead equipment in corrosive saltwater environments"", ""Well intervention plans should account for potential exacerbation of fluid returns and include adequate vessel and fluid handling capacity"", ""Timely reporting of well anomalies to regulatory authorities is critical for prompt remediation"", ""Scale and paraffin buildup should be managed proactively to enable safe well interventions"", ""Management communication systems should ensure field observations are escalated and acted upon promptly""]",null
final-sanitized-acc-inc-report-15-nov-2016,"Top Event: Loss of Containment - H2S Gas Release
Incident Type: H2S gas release
Operating Phase: production
Materials: hydrogen sulfide (H2S), sour gas, crude oil and gas liquids
Summary: On 29-May-2016 at 1310 hrs, a hydrogen sulfide (H2S) gas release of 400 ppm occurred on Main Pass 299-FP Platform during pigging operations on the flowline from MP 299-A to FP Platform. While the crew drained fluids from the pig trap, H2S sensors detected high concentrations of sour gas. The H2S alarm sounded and the platform was shut in. All personnel donned SCBAs and mustered. After an initial all-clear declaration, the H2S alarm sounded again. The response team located a gas leak in the 2-inch pipe outlet from the MBF-935 Buyback Gas Scrubber below the south side cellar deck. Investigation determined the leak was caused by extensive exterior corrosion that compromised the piping integrity. The root cause was identified as failure of the operator to perform routine corrosion assessment and maintenance on piping. The field was subsequently shut in indefinitely as continued operation was deemed uneconomical.
Recommendations:
BSEE New Orleans District made no recommendations to the Office of Incident Investigations
Performance-Influencing Factor Notes:
negative
negative
negative",Loss of Containment - H2S Gas Release,H2S gas release,production,"[""hydrogen sulfide (H2S)"", ""sour gas"", ""crude oil and gas liquids""]",Gulf of Mexico,Freeport-McMoRan Energy LLC,"On 29-May-2016 at 1310 hrs, a hydrogen sulfide (H2S) gas release of 400 ppm occurred on Main Pass 299-FP Platform during pigging operations on the flowline from MP 299-A to FP Platform. While the crew drained fluids from the pig trap, H2S sensors detected high concentrations of sour gas. The H2S alarm sounded and the platform was shut in. All personnel donned SCBAs and mustered. After an initial all-clear declaration, the H2S alarm sounded again. The response team located a gas leak in the 2-inch pipe outlet from the MBF-935 Buyback Gas Scrubber below the south side cellar deck. Investigation determined the leak was caused by extensive exterior corrosion that compromised the piping integrity. The root cause was identified as failure of the operator to perform routine corrosion assessment and maintenance on piping. The field was subsequently shut in indefinitely as continued operation was deemed uneconomical.","[""BSEE New Orleans District made no recommendations to the Office of Incident Investigations""]","{""people"": [""communication"", ""situational_awareness""], ""organisation"": [""safety_culture""]}"
foundation-food-group-fatal-chemical-release-,"Top Event: Loss of Containment - Liquid Nitrogen Release
Incident Type: Cryogenic liquid release resulting in asphyxiation fatalities
Operating Phase: production
Materials: liquid nitrogen
Summary: On January 28, 2021, liquid nitrogen overflowed from an immersion freezer at Foundation Food Group's Plant 4 in Gainesville, Georgia. The overflow occurred while maintenance workers were troubleshooting operational issues with the freezer, which was designed and owned by Messer LLC and rented to FFG. Once released, the liquid nitrogen vaporized, expanded, and rapidly accumulated within a partially enclosed cold room lacking mechanical ventilation. Two maintenance workers died from asphyxiation due to vaporized nitrogen. The uncontrolled nitrogen leak continued undetected for 30-60 minutes. When discovered, at least 14 FFG employees responded by entering the cold room or attempting rescue, resulting in four additional fatalities and three employees plus one firefighter suffering severe asphyxiation symptoms. The incident was caused by failure of the liquid level control system due to deformation of the bubble-type level gauge component, combined with inadequate process safety management, emergency preparedness, atmospheric monitoring, and product stewardship practices.
Recommendations:
Gold Creek Foods (current facility owner) should proactively engage local emergency responders with information about hazardous substances, critical equipment locations, and emergency systems
Messer LLC should update product stewardship policy to include participation in customer PHAs, verify proper signage for oxygen-deficient atmospheres, and review emergency shutdown switch locations
Messer should create informational materials for customers on safety issues and effective safety management systems for inert gas asphyxiation hazards
OSHA should update Regional Emphasis Programs for poultry processing facilities (Regions 4 and 6) and food manufacturing (Region 5) to explicitly cover liquid nitrogen freezing processes
OSHA should promulgate a specific standard for cryogenic asphyxiant agents addressing equipment design, atmospheric monitoring, emergency shutdown systems, employee training, emergency action plans, and process safety management elements
OSHA should develop guidance document for process safety management practices applicable to compressed gases and cryogenic asphyxiant agents
Compressed Gas Association (CGA) should develop comprehensive standard for safe storage, handling, and use of liquid nitrogen in fixed facilities
CGA should update P-76 standard on oxygen-deficient atmospheres to require atmospheric monitoring systems, distinct alarm indications, remote-operated emergency isolation valves (ROEIV), and guidance on emergency stop device locations
National Fire Protection Association (NFPA) should update NFPA 55 to require atmospheric monitoring with cryogenic asphyxiant agents and include guidance on safe location of manual isolation valves and emergency activation devices
International Code Council (ICC) should update International Fire Code to require atmospheric monitoring with cryogenic asphyxiant agents and include guidance on safe location of isolation valves and emergency devices
Performance-Influencing Factor Notes:
inadequate
inadequate
inadequate
absent
inadequate
inadequate
absent
inadequate
absent",Loss of Containment - Liquid Nitrogen Release,Cryogenic liquid release resulting in asphyxiation fatalities,production,"[""liquid nitrogen""]","Gainesville, Georgia, USA",Foundation Food Group (FFG),"On January 28, 2021, liquid nitrogen overflowed from an immersion freezer at Foundation Food Group's Plant 4 in Gainesville, Georgia. The overflow occurred while maintenance workers were troubleshooting operational issues with the freezer, which was designed and owned by Messer LLC and rented to FFG. Once released, the liquid nitrogen vaporized, expanded, and rapidly accumulated within a partially enclosed cold room lacking mechanical ventilation. Two maintenance workers died from asphyxiation due to vaporized nitrogen. The uncontrolled nitrogen leak continued undetected for 30-60 minutes. When discovered, at least 14 FFG employees responded by entering the cold room or attempting rescue, resulting in four additional fatalities and three employees plus one firefighter suffering severe asphyxiation symptoms. The incident was caused by failure of the liquid level control system due to deformation of the bubble-type level gauge component, combined with inadequate process safety management, emergency preparedness, atmospheric monitoring, and product stewardship practices.","[""Gold Creek Foods (current facility owner) should proactively engage local emergency responders with information about hazardous substances, critical equipment locations, and emergency systems"", ""Messer LLC should update product stewardship policy to include participation in customer PHAs, verify proper signage for oxygen-deficient atmospheres, and review emergency shutdown switch locations"", ""Messer should create informational materials for customers on safety issues and effective safety management systems for inert gas asphyxiation hazards"", ""OSHA should update Regional Emphasis Programs for poultry processing facilities (Regions 4 and 6) and food manufacturing (Region 5) to explicitly cover liquid nitrogen freezing processes"", ""OSHA should promulgate a specific standard for cryogenic asphyxiant agents addressing equipment design, atmospheric monitoring, emergency shutdown systems, employee training, emergency action plans, and process safety management elements"", ""OSHA should develop guidance document for process safety management practices applicable to compressed gases and cryogenic asphyxiant agents"", ""Compressed Gas Association (CGA) should develop comprehensive standard for safe storage, handling, and use of liquid nitrogen in fixed facilities"", ""CGA should update P-76 standard on oxygen-deficient atmospheres to require atmospheric monitoring systems, distinct alarm indications, remote-operated emergency isolation valves (ROEIV), and guidance on emergency stop device locations"", ""National Fire Protection Association (NFPA) should update NFPA 55 to require atmospheric monitoring with cryogenic asphyxiant agents and include guidance on safe location of manual isolation valves and emergency activation devices"", ""International Code Council (ICC) should update International Fire Code to require atmospheric monitoring with cryogenic asphyxiant agents and include guidance on safe location of isolation valves and emergency devices""]",null
freedom-industries-chemical-release-,"Top Event: Loss of Containment from Aboveground Storage Tank
Incident Type: Chemical spill to environment and drinking water contamination
Operating Phase: storage and distribution
Materials: Crude MCHM (methylcyclohexanemethanol), PPH, stripped (polyglycol ethers), Shurflot 944
Summary: On January 9, 2014, approximately 11,000 gallons of a mixture containing Crude MCHM and PPH, stripped leaked from tank 396 at Freedom Industries facility in Charleston, West Virginia. The leak resulted from pitting corrosion that created two holes (0.75 and 0.4 inches diameter) in the tank floor. The chemical mixture escaped through failed secondary containment and an underground culvert, flowing into the Elk River approximately 1.5 miles upstream of the West Virginia American Water treatment facility intake. The contamination resulted in a Do Not Use order affecting approximately 300,000 residents across nine counties. Over 300 people sought medical treatment for symptoms including nausea, rashes, vomiting, abdominal pain, and diarrhea. The incident exposed significant gaps in tank inspection, secondary containment maintenance, leak detection systems, source water protection, and public health communication.
Recommendations:
AST owners and operators should establish regular inspection programs and routinely monitor tanks and secondary containment to verify tank integrity
AST owners and operators should coordinate with nearby water utilities and emergency response organizations to ensure chemical information is immediately available
AST owners and operators should ensure spill prevention and protection plans are updated and implemented
States should take immediate action to protect source waters through increased inspections and enforcement at chemical storage facilities near water sources
States should establish Source Water Assessment Programs that mandate source water protection planning by water utilities
Water utilities should engage with Local Emergency Planning Committees to obtain Tier II information about stored chemicals
Water utilities should assess treatment system capabilities to remove potential hazardous chemicals
Public health agencies should establish communication frameworks to ensure information is coordinated through one entity
American Water Works Association should disseminate lessons learned from chemical contamination incidents
American Water should establish requirements for subsidiary surface water treatment plants to develop source water protection plans
Performance-Influencing Factor Notes:
deficient
inadequate
absent
inadequate
deficient
inadequate",Loss of Containment from Aboveground Storage Tank,Chemical spill to environment and drinking water contamination,storage and distribution,"[""Crude MCHM (methylcyclohexanemethanol)"", ""PPH, stripped (polyglycol ethers)"", ""Shurflot 944""]","Charleston, West Virginia, USA","Freedom Industries, Inc.","On January 9, 2014, approximately 11,000 gallons of a mixture containing Crude MCHM and PPH, stripped leaked from tank 396 at Freedom Industries facility in Charleston, West Virginia. The leak resulted from pitting corrosion that created two holes (0.75 and 0.4 inches diameter) in the tank floor. The chemical mixture escaped through failed secondary containment and an underground culvert, flowing into the Elk River approximately 1.5 miles upstream of the West Virginia American Water treatment facility intake. The contamination resulted in a Do Not Use order affecting approximately 300,000 residents across nine counties. Over 300 people sought medical treatment for symptoms including nausea, rashes, vomiting, abdominal pain, and diarrhea. The incident exposed significant gaps in tank inspection, secondary containment maintenance, leak detection systems, source water protection, and public health communication.","[""AST owners and operators should establish regular inspection programs and routinely monitor tanks and secondary containment to verify tank integrity"", ""AST owners and operators should coordinate with nearby water utilities and emergency response organizations to ensure chemical information is immediately available"", ""AST owners and operators should ensure spill prevention and protection plans are updated and implemented"", ""States should take immediate action to protect source waters through increased inspections and enforcement at chemical storage facilities near water sources"", ""States should establish Source Water Assessment Programs that mandate source water protection planning by water utilities"", ""Water utilities should engage with Local Emergency Planning Committees to obtain Tier II information about stored chemicals"", ""Water utilities should assess treatment system capabilities to remove potential hazardous chemicals"", ""Public health agencies should establish communication frameworks to ensure information is coordinated through one entity"", ""American Water Works Association should disseminate lessons learned from chemical contamination incidents"", ""American Water should establish requirements for subsidiary surface water treatment plants to develop source water protection plans""]",null
g01083-energy-xxi-03-march-2019,"Top Event: Loss of Containment
Incident Type: Multiple pollution events
Operating Phase: production
Materials: crude oil, produced water, methanol, natural gas
Summary: Multiple pollution events occurred at WD Block 73 A Platform from March 20-22, 2019. First event: 14 barrels of oil discharged through produced water system due to gas compressor shutdown causing fluid surge and loss of interphase levels in separation vessels. Second event: Failed pneumatic oil pumps sprayed oil to Gulf. Third event: Sump tank overflow during cleanup. Six safety devices were found bypassed during abnormal conditions.
Recommendations:
Review Cox's LOTO procedures and documentation
Review JSA procedures for equipment replacement tasks
Performance-Influencing Factor Notes:
N/A",Loss of Containment,Multiple pollution events,production,"[""crude oil"", ""produced water"", ""methanol"", ""natural gas""]",Gulf of Mexico,"Energy XXI GOM, LLC (Cox Oil)","Multiple pollution events occurred at WD Block 73 A Platform from March 20-22, 2019. First event: 14 barrels of oil discharged through produced water system due to gas compressor shutdown causing fluid surge and loss of interphase levels in separation vessels. Second event: Failed pneumatic oil pumps sprayed oil to Gulf. Third event: Sump tank overflow during cleanup. Six safety devices were found bypassed during abnormal conditions.","[""Review Cox's LOTO procedures and documentation"", ""Review JSA procedures for equipment replacement tasks""]",null
gb-128-shell-19-sep-2017,"Top Event: Gas Release
Incident Type: Loss of Containment
Operating Phase: production
Materials: blanket gas
Summary: On September 19, 2017 at approximately 1600 hours, a gas release occurred from a corroded 2-inch pipe containing approximately 1000 lbs of pressure. A corrosion inspector conducting annual metal integrity inspection raised the pipe off an I-beam support, causing gas to escape from a small pinhole. The inspector's personal gas monitor detected the gas. Manual ESD and muster alarm were initiated. No injuries or pollution events resulted.
Recommendations:
N/A
Performance-Influencing Factor Notes:
N/A",Gas Release,Loss of Containment,production,"[""blanket gas""]",Gulf of Mexico,Shell Offshore Inc.,"On September 19, 2017 at approximately 1600 hours, a gas release occurred from a corroded 2-inch pipe containing approximately 1000 lbs of pressure. A corrosion inspector conducting annual metal integrity inspection raised the pipe off an I-beam support, causing gas to escape from a small pinhole. The inspector's personal gas monitor detected the gas. Manual ESD and muster alarm were initiated. No injuries or pollution events resulted.",[],null
gb-128-shell-8-nov-2017,"Top Event: Explosion and Fire at Pig Launcher
Incident Type: Explosion
Operating Phase: production
Materials: natural gas, sales gas
Summary: On November 8, 2017 at 1:18 a.m., an explosion occurred at the 30-inch sales gas pipeline pig launcher on the Enchilada platform (GB Block 128) operated by Shell Offshore Inc. Two operators were preparing to launch a pig when the pig launcher closure door failed explosively, propelling the door and other items overboard. A fire ensued, fed by natural gas from the pipeline. One operator sustained concussion, back injuries, and second-degree burns; the other suffered minor injuries. All 46 platform personnel were safely evacuated. The root cause was incomplete closure of the clamp rings due to procedural failures in securing the closure door, combined with inadequate hazard analysis, improper management of change, and insufficient supervision.
Recommendations:
GOMR Office of Safety Management should issue a Safety Alert/Bulletin emphasizing adherence to established procedures, including lockout/tagout
GOMR Office of Safety Management should perform a SEMS program evaluation of GB-128 'A' facility in areas of Hazard Analysis, Operating Procedures, Safe Work Practices, and Mechanical Integrity
Performance-Influencing Factor Notes:
low
medium
low
low
high
low
low
low
low
low",Explosion and Fire at Pig Launcher,Explosion,production,"[""natural gas"", ""sales gas""]",Gulf of Mexico,Shell Offshore Inc.,"On November 8, 2017 at 1:18 a.m., an explosion occurred at the 30-inch sales gas pipeline pig launcher on the Enchilada platform (GB Block 128) operated by Shell Offshore Inc. Two operators were preparing to launch a pig when the pig launcher closure door failed explosively, propelling the door and other items overboard. A fire ensued, fed by natural gas from the pipeline. One operator sustained concussion, back injuries, and second-degree burns; the other suffered minor injuries. All 46 platform personnel were safely evacuated. The root cause was incomplete closure of the clamp rings due to procedural failures in securing the closure door, combined with inadequate hazard analysis, improper management of change, and insufficient supervision.","[""GOMR Office of Safety Management should issue a Safety Alert/Bulletin emphasizing adherence to established procedures, including lockout/tagout"", ""GOMR Office of Safety Management should perform a SEMS program evaluation of GB-128 'A' facility in areas of Hazard Analysis, Operating Procedures, Safe Work Practices, and Mechanical Integrity""]",null
gb-213-apache-deepwater-23-may-2014,"Top Event: Loss of Containment - Synthetic Base Mud Spill
Incident Type: pollution
Operating Phase: drilling
Materials: synthetic base mud (SBM), 16.9 ppg drilling fluid
Summary: At approximately 23:00 hours on 23 May 2014, the Diamond Ocean Onyx semi-submersible drilling rig reported a loss of synthetic base mud (SBM) during abandonment operations on Well #1. Initial report of 107 bbl was revised to 61 bbl after strapping calculations. The spill occurred when mud line valves on the Schlumberger Cement Unit were left in the open position after cleaning operations and were not checked prior to the cement job. When the Cementer began pumping cement from Batch Mixing Tank #2, the tank overflowed, causing SBM to spill into secondary containment areas and then into drains leading to the overboard discharge line, which also had open valves. The Toolpusher closed the overboard drain line valves at 23:30 hours, preventing further discharge. No injuries or property damage occurred.
Recommendations:
N/A
Performance-Influencing Factor Notes:
low
low
low
low",Loss of Containment - Synthetic Base Mud Spill,pollution,drilling,"[""synthetic base mud (SBM)"", ""16.9 ppg drilling fluid""]","Gulf of Mexico, Garden Banks Block 213",Apache Deepwater LLC,"At approximately 23:00 hours on 23 May 2014, the Diamond Ocean Onyx semi-submersible drilling rig reported a loss of synthetic base mud (SBM) during abandonment operations on Well #1. Initial report of 107 bbl was revised to 61 bbl after strapping calculations. The spill occurred when mud line valves on the Schlumberger Cement Unit were left in the open position after cleaning operations and were not checked prior to the cement job. When the Cementer began pumping cement from Batch Mixing Tank #2, the tank overflowed, causing SBM to spill into secondary containment areas and then into drains leading to the overboard discharge line, which also had open valves. The Toolpusher closed the overboard drain line valves at 23:30 hours, preventing further discharge. No injuries or property damage occurred.",[],null
gb-427-shell-offshore-7-jun-2017,"Top Event: Loss of Containment - Subsea BOP Seal Failure
Incident Type: Leak / Pollution
Operating Phase: exploration
Materials: synthetic oil base mud (SOBM), drilling fluid
Summary: On 7 June 2017, the Noble Don Taylor drillship under contract to Shell reported an unauthorized discharge of approximately 94.2 barrels of 15.1 ppg synthetic oil base mud during exploration operations on Well DC005 (Cardamom) in Garden Banks Block 427, Gulf of Mexico. The spill was caused by failure of the upper variable bore ram (VBR) aft bonnet door cartridge seal on the subsea blowout preventer. Contributing factors included buildup of debris in the upper VBR body, failure to conduct proper hole cleaning and flushing of the BOP as recommended in NOV Product Information Bulletin released 11 August 2015, and inadequate communication of known risk of loss of seal integrity.
Recommendations:
Implement proper hole cleaning and flushing procedures for subsea BOP prior to operation
Improve communication of known risks identified in equipment manufacturer bulletins
Install cartridge guard to protect cartridge and seal from debris buildup and compression
Performance-Influencing Factor Notes:
inadequate
inadequate",Loss of Containment - Subsea BOP Seal Failure,Leak / Pollution,exploration,"[""synthetic oil base mud (SOBM)"", ""drilling fluid""]","Gulf of Mexico, Garden Banks Block 427",Shell Exploration and Production Company,"On 7 June 2017, the Noble Don Taylor drillship under contract to Shell reported an unauthorized discharge of approximately 94.2 barrels of 15.1 ppg synthetic oil base mud during exploration operations on Well DC005 (Cardamom) in Garden Banks Block 427, Gulf of Mexico. The spill was caused by failure of the upper variable bore ram (VBR) aft bonnet door cartridge seal on the subsea blowout preventer. Contributing factors included buildup of debris in the upper VBR body, failure to conduct proper hole cleaning and flushing of the BOP as recommended in NOV Product Information Bulletin released 11 August 2015, and inadequate communication of known risk of loss of seal integrity.","[""Implement proper hole cleaning and flushing procedures for subsea BOP prior to operation"", ""Improve communication of known risks identified in equipment manufacturer bulletins"", ""Install cartridge guard to protect cartridge and seal from debris buildup and compression""]",null
gb-958-cobalt-rowan-reliance-23-mar-2015,"Top Event: Loss of Containment - Unauthorized discharge of synthetic oil base mud
Incident Type: pollution
Operating Phase: drilling
Materials: synthetic oil base mud (SOBM), 15.3 ppg drilling fluid
Summary: On 23 March 2015 at 0505 hours, the Rowan Reliance drill ship under contract to Cobalt International Energy reported a discharge of approximately 2200 barrels of 15.3 ppg synthetic oil base mud (SOBM) during well operations on Well 002 (North Platte #2) in Garden Banks Block 958 at 4846 ft water depth. The primary cause was the failure to install a Seal Sub (Mud Pin) in the flange connection between the flex joint termination spool and the first riser joint (Joint #64). Contributing factors included inadequate procedures, insufficient crew handover, failure to recognize the SOBM buildup during ROV coverage, command structure issues, and under-torqued bolts (1250 psi instead of required 1600 psi). Of the 2200 bbl lost, 1557 bbl entered open water and 643 bbl were lost in open hole. Property damage totaled $151,353.
Recommendations:
BSEE Lafayette District recommends a Safety and Environmental Management Systems (SEMS) audit be conducted concurrently during Cobalt internal audit scheduled for November 2015
Performance-Influencing Factor Notes:
low
low
low
low
low
low
low
low",Loss of Containment - Unauthorized discharge of synthetic oil base mud,pollution,drilling,"[""synthetic oil base mud (SOBM)"", ""15.3 ppg drilling fluid""]",Gulf of Mexico - Garden Banks Block 958,"Cobalt International Energy, L.P.","On 23 March 2015 at 0505 hours, the Rowan Reliance drill ship under contract to Cobalt International Energy reported a discharge of approximately 2200 barrels of 15.3 ppg synthetic oil base mud (SOBM) during well operations on Well 002 (North Platte #2) in Garden Banks Block 958 at 4846 ft water depth. The primary cause was the failure to install a Seal Sub (Mud Pin) in the flange connection between the flex joint termination spool and the first riser joint (Joint #64). Contributing factors included inadequate procedures, insufficient crew handover, failure to recognize the SOBM buildup during ROV coverage, command structure issues, and under-torqued bolts (1250 psi instead of required 1600 psi). Of the 2200 bbl lost, 1557 bbl entered open water and 643 bbl were lost in open hole. Property damage totaled $151,353.","[""BSEE Lafayette District recommends a Safety and Environmental Management Systems (SEMS) audit be conducted concurrently during Cobalt internal audit scheduled for November 2015""]",null
gb2066820anadarko2015-nov-2024,"Top Event: Gas Release
Incident Type: Loss of Containment
Operating Phase: well abandonment
Materials: natural gas, hydrocarbon, calcium bromide brine (CaBr2), nitrogen
Summary: On 15 November 2024 at 0837 hours, a gas release occurred in the shaker house aboard the Valaris DS-16 drillship during well abandonment operations. While displacing the kill line and landing string back to calcium bromide brine after nitrogen displacement, hydrocarbons were released into the shaker house atmosphere. The incident was triggered by a compromised liquid leg in the mud gas separator, allowing hydrocarbon gas to bypass the separator and enter the shaker house. A hydrocarbon alarm activated, prompting evacuation and crew muster. Gas levels returned to zero and operations resumed without further issues.
Recommendations:
Safety meeting with all crews on importance of circulating fluids/gases from well and impact on mud gas separator liquid leg
Performance-Influencing Factor Notes:
negative
negative
negative
negative
negative
negative",Gas Release,Loss of Containment,well abandonment,"[""natural gas"", ""hydrocarbon"", ""calcium bromide brine (CaBr2)"", ""nitrogen""]",Gulf of America - Garden Banks 668,Anadarko Petroleum Corporation / OXY,"On 15 November 2024 at 0837 hours, a gas release occurred in the shaker house aboard the Valaris DS-16 drillship during well abandonment operations. While displacing the kill line and landing string back to calcium bromide brine after nitrogen displacement, hydrocarbons were released into the shaker house atmosphere. The incident was triggered by a compromised liquid leg in the mud gas separator, allowing hydrocarbon gas to bypass the separator and enter the shaker house. A hydrocarbon alarm activated, prompting evacuation and crew muster. Gas levels returned to zero and operations resumed without further issues.","[""Safety meeting with all crews on importance of circulating fluids/gases from well and impact on mud gas separator liquid leg""]","{""people"": [""competence"", ""situational_awareness""], ""work"": [""procedures"", ""tools_equipment""], ""organisation"": [""safety_culture"", ""training""]}"
gb_216_hess_corporation_17_feb_2016,"Top Event: Loss of Containment - Zinc Bromide Discharge
Incident Type: Pollution - Unauthorized Discharge
Operating Phase: abandonment
Materials: zinc bromide (ZnBr2)
Summary: During permanent abandonment operations on Well #004 at Garden Banks Block 216, approximately 22 barrels of zinc bromide (ZnBr2) were discharged into offshore waters. The discharge originated from high pressure vent lines connected to subsea production tree safety valves (SV1 and SV2) that were left in the open position after tubing hanger retrieval. The incident was discovered during ROV monitoring of pressure testing operations. No injuries occurred.
Recommendations:
N/A
Performance-Influencing Factor Notes:
inadequate
inadequate
inadequate",Loss of Containment - Zinc Bromide Discharge,Pollution - Unauthorized Discharge,abandonment,"[""zinc bromide (ZnBr2)""]","Gulf of Mexico, Garden Banks Block 216",Hess Corporation,"During permanent abandonment operations on Well #004 at Garden Banks Block 216, approximately 22 barrels of zinc bromide (ZnBr2) were discharged into offshore waters. The discharge originated from high pressure vent lines connected to subsea production tree safety valves (SV1 and SV2) that were left in the open position after tubing hanger retrieval. The incident was discovered during ROV monitoring of pressure testing operations. No injuries occurred.",[],null
gc-155-marubeni-oil-and-gas-24-sep-2014,"Top Event: Inadvertent Discharge of Synthetic Based Mud
Incident Type: pollution
Operating Phase: completion
Materials: Synthetic Based Mud (SBM)
Summary: On September 24, 2014, approximately 150 barrels of Synthetic Based Mud (SBM) were discharged into the Gulf of Mexico from the Noble Driller while crews prepared the rig for well completion. A leaking dump valve on mud pit #3, combined with open master valves from ongoing cleaning operations and an inoperable Pit Volume Transmitter alarm, resulted in undetected fluid loss over approximately 1.5 hours.
Recommendations:
N/A
Performance-Influencing Factor Notes:
poor
inadequate
high
degraded
inadequate",Inadvertent Discharge of Synthetic Based Mud,pollution,completion,"[""Synthetic Based Mud (SBM)""]",Gulf of Mexico,Marubeni Oil & Gas (USA) Inc.,"On September 24, 2014, approximately 150 barrels of Synthetic Based Mud (SBM) were discharged into the Gulf of Mexico from the Noble Driller while crews prepared the rig for well completion. A leaking dump valve on mud pit #3, combined with open master valves from ongoing cleaning operations and an inoperable Pit Volume Transmitter alarm, resulted in undetected fluid loss over approximately 1.5 hours.",[],null
