incident_id,incident_embed_text,top_event,incident_type,operating_phase,materials,region,operator,summary,recommendations
gb-426-a-shell-offshore-inc-19-feb-2014,"Top Event: Slip/Trip/Fall resulting in ankle fracture
Incident Type: Slip/Trip/Fall
Operating Phase: production
Materials: N/A
Summary: On 19 February 2014 at approximately 2140 hours, a Contract Employee was injured while tightening flanges on a closed cooler water deck during construction operations. The CE pulled a wrench to tighten a bolt, causing the wrench to slip. The CE stumbled backwards and his left foot struck an uneven space on the grating, causing the ankle to roll sideways. The CE sustained fractures to the tibia and fibula in the left ankle.",Slip/Trip/Fall resulting in ankle fracture,Slip/Trip/Fall,production,[],Gulf of Mexico,Shell Offshore Inc.,"On 19 February 2014 at approximately 2140 hours, a Contract Employee was injured while tightening flanges on a closed cooler water deck during construction operations. The CE pulled a wrench to tighten a bolt, causing the wrench to slip. The CE stumbled backwards and his left foot struck an uneven space on the grating, causing the ankle to roll sideways. The CE sustained fractures to the tibia and fibula in the left ankle.",[]
gb-426-shell-03-apr-2021,"Top Event: High-pressure hose release causing personnel injury
Incident Type: Injury - Pressurized hose strike
Operating Phase: production
Materials: crude oil, natural gas, drilling fluid
Summary: On 3 April 2021 at approximately 1310 hours, a contract chemical employee (IP) was assisting a Production Operator in testing a boarding shut down valve (BSDV) on the Cardamom Field at Shell's GB 426-A platform. While the IP was holding an unsecured hose used to drain residual fluid, the hose became pressurized when the equalizing valve BSDV 2471B was opened at the control panel. The high-pressure release caused the metal fitting on the hose to strike the IP's left hand and back, resulting in a closed displaced fracture of the fifth metacarpal bone. The IP was evacuated to an onshore medical facility for treatment.",High-pressure hose release causing personnel injury,Injury - Pressurized hose strike,production,"[""crude oil"", ""natural gas"", ""drilling fluid""]","Gulf of Mexico, Garden Banks Block 426",Shell Offshore Inc.,"On 3 April 2021 at approximately 1310 hours, a contract chemical employee (IP) was assisting a Production Operator in testing a boarding shut down valve (BSDV) on the Cardamom Field at Shell's GB 426-A platform. While the IP was holding an unsecured hose used to drain residual fluid, the hose became pressurized when the equalizing valve BSDV 2471B was opened at the control panel. The high-pressure release caused the metal fitting on the hose to strike the IP's left hand and back, resulting in a closed displaced fracture of the fifth metacarpal bone. The IP was evacuated to an onshore medical facility for treatment.","[""BSEE Lafayette District made no recommendations to the Regional Office of Incident Investigations""]"
gb-426-shell-25-apr-2016,"Top Event: Ejection of threaded stem striking worker
Incident Type: Equipment failure resulting in worker injury
Operating Phase: production
Materials: N/A
Summary: On 25 April 2016 at 15:20 hours, an H&P employee was injured while removing a seat from a mud pump cylinder on the H&P 406 rig on Shell's Auger TLP. The crew was using a heavy duty seat puller with a replacement 2-inch threaded stem (not OEM certified) to pull mud pump seats that had been modified with relief grooves. When pressurized to 4500 psi, the non-OEM threaded stem failed and ejected, striking the worker's right hand and causing a fracture. Metallurgical analysis confirmed the stem failed due to overload beyond its design capacity.",Ejection of threaded stem striking worker,Equipment failure resulting in worker injury,production,[],Gulf of Mexico,Shell Offshore Inc.,"On 25 April 2016 at 15:20 hours, an H&P employee was injured while removing a seat from a mud pump cylinder on the H&P 406 rig on Shell's Auger TLP. The crew was using a heavy duty seat puller with a replacement 2-inch threaded stem (not OEM certified) to pull mud pump seats that had been modified with relief grooves. When pressurized to 4500 psi, the non-OEM threaded stem failed and ejected, striking the worker's right hand and causing a fracture. Metallurgical analysis confirmed the stem failed due to overload beyond its design capacity.","[""BSEE Lafayette District recommends a Safety and Environmental Management Systems (SEMS) audit be conducted at the Shell Auger TLP rig""]"
gb-426-shell-offshore-10-dec-2021,"Top Event: Structural damage to drill pipe during pipe racker lifting operations
Incident Type: Equipment failure due to human error
Operating Phase: production
Materials: 3.5-inch drill pipe
Summary: On 10 December 2021 at 0030 hours, a lifting incident occurred during Well A019 tripping in the hole operations on H&P Rig 406 fixed on Shell's Auger TLP. A single joint of 3.5-inch drill pipe was damaged when the Lower Pipe Racker Operator (LPRO) pulled his end ahead of the Upper Pipe Racker Operator (UPRO), causing the top of the drill pipe stand to get under the elevators as the traveling block was coming down. The pipe bowed and threads were damaged. No injuries occurred. Root causes included LPRO inexperience (second operation, 8 months on rig), inadequate Job Safety Analysis, and inadequate Job By Design Template that failed to specify waiting until block is below fingerboard before removing next stand.",Structural damage to drill pipe during pipe racker lifting operations,Equipment failure due to human error,production,"[""3.5-inch drill pipe""]",Gulf of Mexico - Garden Banks Block 426A,Shell Offshore Inc.,"On 10 December 2021 at 0030 hours, a lifting incident occurred during Well A019 tripping in the hole operations on H&P Rig 406 fixed on Shell's Auger TLP. A single joint of 3.5-inch drill pipe was damaged when the Lower Pipe Racker Operator (LPRO) pulled his end ahead of the Upper Pipe Racker Operator (UPRO), causing the top of the drill pipe stand to get under the elevators as the traveling block was coming down. The pipe bowed and threads were damaged. No injuries occurred. Root causes included LPRO inexperience (second operation, 8 months on rig), inadequate Job Safety Analysis, and inadequate Job By Design Template that failed to specify waiting until block is below fingerboard before removing next stand.","[""Update Job By Design Template to require stand of drill pipe to stay in slot until block is lowered below fingerboard before bringing out next stand"", ""Update Job Safety Analysis to identify potential hazards of impact between elevators and drill pipe when traveling down while simultaneously removing pipe from fingerboard"", ""Include information related to inexperienced employees in JSA""]"
gb-426_shell_offshore_14-apr-2022,"Top Event: Fall from unprotected platform edge
Incident Type: Slip/Trip/Fall
Operating Phase: production
Materials: N/A
Summary: At approximately 0030 hours on 14 April 2022, a Helmerich & Payne Driller sustained a back injury with fractures while installing washers and nuts onto bolts on the upper working platform leg of the H&P 406 rig's 18.75-inch BOP on Shell's Auger TLP. The Driller was standing on a lower working platform approximately 3 feet 3 inches above the deck when he stepped off the unprotected side of the platform and fell backwards approximately 3 feet 3 inches, landing on and striking the edge of the BOP skid plate. The incident resulted in a Lost Time Accident greater than 3 days.",Fall from unprotected platform edge,Slip/Trip/Fall,production,[],Gulf of Mexico,Shell Offshore Inc.,"At approximately 0030 hours on 14 April 2022, a Helmerich & Payne Driller sustained a back injury with fractures while installing washers and nuts onto bolts on the upper working platform leg of the H&P 406 rig's 18.75-inch BOP on Shell's Auger TLP. The Driller was standing on a lower working platform approximately 3 feet 3 inches above the deck when he stepped off the unprotected side of the platform and fell backwards approximately 3 feet 3 inches, landing on and striking the edge of the BOP skid plate. The incident resulted in a Lost Time Accident greater than 3 days.",[]
gb-426a-shell-offshore-23-nov-2021,"Top Event: Hand injury from struck by falling/bouncing tool
Incident Type: Struck by object
Operating Phase: production
Materials: split wear bushing, running tool
Summary: At approximately 1545 hours on 23 November 2021, a Helmerich & Payne short service employee (SSE) floorhand sustained a right-hand injury during Well A019 decompletion operations on the H&P 406 rig at Shell's Auger TLP. While removing a split wear bushing from a running tool using lifting eyes as handles, the bushing dropped approximately eight inches onto a rubber rotary mat, bounced back three inches, and struck the employee's right hand positioned between the bushing and running tool. The employee was evacuated for medical treatment and placed on restricted work for approximately five days.",Hand injury from struck by falling/bouncing tool,Struck by object,production,"[""split wear bushing"", ""running tool""]","Gulf of Mexico, Garden Banks Block 426A",Shell Offshore Inc.,"At approximately 1545 hours on 23 November 2021, a Helmerich & Payne short service employee (SSE) floorhand sustained a right-hand injury during Well A019 decompletion operations on the H&P 406 rig at Shell's Auger TLP. While removing a split wear bushing from a running tool using lifting eyes as handles, the bushing dropped approximately eight inches onto a rubber rotary mat, bounced back three inches, and struck the employee's right hand positioned between the bushing and running tool. The employee was evacuated for medical treatment and placed on restricted work for approximately five days.",[]
gb-427-shell-25-jun-2018,"Top Event: Load dropped on personnel foot during lifting operations
Incident Type: Struck-by incident
Operating Phase: production
Materials: drilling fluid, drill pipe
Summary: On 25 June 2018 at 05:30 hours, a Noble Derrickman sustained a foot injury when a 2-inch chiksan line assembly fell approximately 36 inches from an aft 5-ton air hoist (tugger) while being lifted at the auxiliary floor area of the Noble Don Taylor drill ship. The assembly struck the top of the derrickman's right foot, resulting in three fractures. The worker was evacuated by helicopter for medical evaluation and was not cleared to return to offshore work.",Load dropped on personnel foot during lifting operations,Struck-by incident,production,"[""drilling fluid"", ""drill pipe""]","Gulf of Mexico, Garden Banks Block 427",Shell Offshore Inc.,"On 25 June 2018 at 05:30 hours, a Noble Derrickman sustained a foot injury when a 2-inch chiksan line assembly fell approximately 36 inches from an aft 5-ton air hoist (tugger) while being lifted at the auxiliary floor area of the Noble Don Taylor drill ship. The assembly struck the top of the derrickman's right foot, resulting in three fractures. The worker was evacuated by helicopter for medical evaluation and was not cleared to return to offshore work.","[""BSEE Lafayette District recommended issuing a Safety Alert for this incident""]"
gb-427-shell-29-may-2017,"Top Event: Hand Crush Injury During BOP Maintenance
Incident Type: Serious Hand Injury - Crush/Entrapment
Operating Phase: production
Materials: hydraulic fluid, subsea equipment
Summary: On 29 May 2017, a third-party SubC technician sustained a serious crush injury to his left hand while adjusting Belleville springs on a subsea BOP lower gripper assembly aboard the Noble Don Taylor drill ship. The technician placed his left hand in a gap between the connector plate and landing sleeve for anchoring while using a ratchet extension with his right hand. When the Noble Subsea Engineer actuated the gripper to unlatch and block positions, the connector plate fell and trapped the technician's hand against the landing sleeve. A hydraulic hand pump was used to free the hand. The technician was evacuated by helicopter and required surgery resulting in amputation of four fingers and part of his thumb.",Hand Crush Injury During BOP Maintenance,Serious Hand Injury - Crush/Entrapment,production,"[""hydraulic fluid"", ""subsea equipment""]",Gulf of Mexico - Garden Banks Block 427,Shell Offshore Inc.,"On 29 May 2017, a third-party SubC technician sustained a serious crush injury to his left hand while adjusting Belleville springs on a subsea BOP lower gripper assembly aboard the Noble Don Taylor drill ship. The technician placed his left hand in a gap between the connector plate and landing sleeve for anchoring while using a ratchet extension with his right hand. When the Noble Subsea Engineer actuated the gripper to unlatch and block positions, the connector plate fell and trapped the technician's hand against the landing sleeve. A hydraulic hand pump was used to free the hand. The technician was evacuated by helicopter and required surgery resulting in amputation of four fingers and part of his thumb.","[""BSEE Lafayette District made no formal recommendations to the Office of Incident Investigations""]"
gb-427-shell-offshore-10-jan-2021,"Top Event: Hand injury from air hoist cable entanglement
Incident Type: Crush injury - finger entanglement
Operating Phase: drilling
Materials: N/A
Summary: On 10 January 2021 at 15:35 hours, a welder acting as a Rigger sustained a crush injury to his right index finger when he placed his hand on an air hoist cable during lifting operations of a riser insert in the Starboard riser bay hold area. The finger was drawn up and squeezed between the cable and sheave. The injured party was evacuated and diagnosed with a hairline fracture requiring orthopedic surgery. The incident was caused by improper hand placement and contributed to by supervisor failure to request crane use, crew failure to stop the job, and inadequate task assessment in safety documentation.",Hand injury from air hoist cable entanglement,Crush injury - finger entanglement,drilling,[],Gulf of Mexico - Garden Banks Block 427,Shell Offshore Inc.,"On 10 January 2021 at 15:35 hours, a welder acting as a Rigger sustained a crush injury to his right index finger when he placed his hand on an air hoist cable during lifting operations of a riser insert in the Starboard riser bay hold area. The finger was drawn up and squeezed between the cable and sheave. The injured party was evacuated and diagnosed with a hairline fracture requiring orthopedic surgery. The incident was caused by improper hand placement and contributed to by supervisor failure to request crane use, crew failure to stop the job, and inadequate task assessment in safety documentation.",[]
gb-427-shell-offshore-28-sep-2020,"Top Event: Uncontrolled descent of construction hoist block
Incident Type: Equipment Failure
Operating Phase: production
Materials: drill pipe
Summary: On 28 September 2020 at approximately 0049 hours, while setting down single joint drill pipes onto the construction floor using the construction hoist block on the Noble Globetrotter I Drill Ship, the construction hoist block descended uncontrollably without input from the driller. The block continued its descent until it contacted the top of a drill pipe joint, applying approximately 50,000 pounds of pressure and causing the pipe to bow. The probable cause was determined to be failure of the mechanical coupling between the Forward Motor and Gearbox on the Construction Hoist Block.",Uncontrolled descent of construction hoist block,Equipment Failure,production,"[""drill pipe""]",Gulf of Mexico,Shell Offshore Inc.,"On 28 September 2020 at approximately 0049 hours, while setting down single joint drill pipes onto the construction floor using the construction hoist block on the Noble Globetrotter I Drill Ship, the construction hoist block descended uncontrollably without input from the driller. The block continued its descent until it contacted the top of a drill pipe joint, applying approximately 50,000 pounds of pressure and causing the pipe to bow. The probable cause was determined to be failure of the mechanical coupling between the Forward Motor and Gearbox on the Construction Hoist Block.",[]
gb-427-shell-offshore-7-jun-2017,"Top Event: Loss of Containment - Subsea BOP Seal Failure
Incident Type: Leak / Pollution
Operating Phase: exploration
Materials: synthetic oil base mud (SOBM), drilling fluid
Summary: On 7 June 2017, the Noble Don Taylor drillship under contract to Shell reported an unauthorized discharge of approximately 94.2 barrels of 15.1 ppg synthetic oil base mud during exploration operations on Well DC005 (Cardamom) in Garden Banks Block 427, Gulf of Mexico. The spill was caused by failure of the upper variable bore ram (VBR) aft bonnet door cartridge seal on the subsea blowout preventer. Contributing factors included buildup of debris in the upper VBR body, failure to conduct proper hole cleaning and flushing of the BOP as recommended in NOV Product Information Bulletin released 11 August 2015, and inadequate communication of known risk of loss of seal integrity.",Loss of Containment - Subsea BOP Seal Failure,Leak / Pollution,exploration,"[""synthetic oil base mud (SOBM)"", ""drilling fluid""]","Gulf of Mexico, Garden Banks Block 427",Shell Exploration and Production Company,"On 7 June 2017, the Noble Don Taylor drillship under contract to Shell reported an unauthorized discharge of approximately 94.2 barrels of 15.1 ppg synthetic oil base mud during exploration operations on Well DC005 (Cardamom) in Garden Banks Block 427, Gulf of Mexico. The spill was caused by failure of the upper variable bore ram (VBR) aft bonnet door cartridge seal on the subsea blowout preventer. Contributing factors included buildup of debris in the upper VBR body, failure to conduct proper hole cleaning and flushing of the BOP as recommended in NOV Product Information Bulletin released 11 August 2015, and inadequate communication of known risk of loss of seal integrity.","[""Implement proper hole cleaning and flushing procedures for subsea BOP prior to operation"", ""Improve communication of known risks identified in equipment manufacturer bulletins"", ""Install cartridge guard to protect cartridge and seal from debris buildup and compression""]"
gb-506_talos_20-mar-2024_ev2010r,"Top Event: Shoulder Injury from Fall
Incident Type: Slip/Trip/Fall
Operating Phase: workover
Materials: coil tubing
Summary: On 20 March 2024 at approximately 0705 hours, a Schlumberger Pump Operator sustained a left shoulder injury (dislocated shoulder and torn labrum) while attempting to jump across a 4-foot gap from the Coil Tubing Control Cabin to the Coil Tubing Reel Platform (approximately 12 feet above deck) during well workover operations on the Helix Q-4000 semisubmersible vessel. The operator lost his footing during the transition and grabbed the Coil Tubing Cabin crash frame with his left hand while falling, sustaining the injury. The operator was wearing fall protection harness with self-retracting lanyard but did not follow the Job Safety Analysis requirement to use a ladder for access.",Shoulder Injury from Fall,Slip/Trip/Fall,workover,"[""coil tubing""]","Gulf of Mexico, Garden Banks Block 506",Talos ERT LLC,"On 20 March 2024 at approximately 0705 hours, a Schlumberger Pump Operator sustained a left shoulder injury (dislocated shoulder and torn labrum) while attempting to jump across a 4-foot gap from the Coil Tubing Control Cabin to the Coil Tubing Reel Platform (approximately 12 feet above deck) during well workover operations on the Helix Q-4000 semisubmersible vessel. The operator lost his footing during the transition and grabbed the Coil Tubing Cabin crash frame with his left hand while falling, sustaining the injury. The operator was wearing fall protection harness with self-retracting lanyard but did not follow the Job Safety Analysis requirement to use a ladder for access.",[]
gb-958-cobalt-rowan-reliance-23-mar-2015,"Top Event: Loss of Containment - Unauthorized discharge of synthetic oil base mud
Incident Type: pollution
Operating Phase: drilling
Materials: synthetic oil base mud (SOBM), 15.3 ppg drilling fluid
Summary: On 23 March 2015 at 0505 hours, the Rowan Reliance drill ship under contract to Cobalt International Energy reported a discharge of approximately 2200 barrels of 15.3 ppg synthetic oil base mud (SOBM) during well operations on Well 002 (North Platte #2) in Garden Banks Block 958 at 4846 ft water depth. The primary cause was the failure to install a Seal Sub (Mud Pin) in the flange connection between the flex joint termination spool and the first riser joint (Joint #64). Contributing factors included inadequate procedures, insufficient crew handover, failure to recognize the SOBM buildup during ROV coverage, command structure issues, and under-torqued bolts (1250 psi instead of required 1600 psi). Of the 2200 bbl lost, 1557 bbl entered open water and 643 bbl were lost in open hole. Property damage totaled $151,353.",Loss of Containment - Unauthorized discharge of synthetic oil base mud,pollution,drilling,"[""synthetic oil base mud (SOBM)"", ""15.3 ppg drilling fluid""]",Gulf of Mexico - Garden Banks Block 958,"Cobalt International Energy, L.P.","On 23 March 2015 at 0505 hours, the Rowan Reliance drill ship under contract to Cobalt International Energy reported a discharge of approximately 2200 barrels of 15.3 ppg synthetic oil base mud (SOBM) during well operations on Well 002 (North Platte #2) in Garden Banks Block 958 at 4846 ft water depth. The primary cause was the failure to install a Seal Sub (Mud Pin) in the flange connection between the flex joint termination spool and the first riser joint (Joint #64). Contributing factors included inadequate procedures, insufficient crew handover, failure to recognize the SOBM buildup during ROV coverage, command structure issues, and under-torqued bolts (1250 psi instead of required 1600 psi). Of the 2200 bbl lost, 1557 bbl entered open water and 643 bbl were lost in open hole. Property damage totaled $151,353.","[""BSEE Lafayette District recommends a Safety and Environmental Management Systems (SEMS) audit be conducted concurrently during Cobalt internal audit scheduled for November 2015""]"
gb-962-28mar21,"Top Event: Shallow Water Flow from Low-Pressure Wellhead Housing
Incident Type: Loss of Containment
Operating Phase: drilling
Materials: crude oil, seawater, drilling mud, cement
Summary: On March 28, 2021, at approximately 1921 hours, personnel observed a steady flow from the Lower Cement Port 1 on the 38-inch Low-Pressure Wellhead Housing during riserless drilling operations with the Transocean Deepwater Poseidon drillship at Garden Banks Block 962. The flow occurred approximately 7 hours after 22-inch casing cement was placed. Analysis revealed the flow originated from above the top of salt in a dirty salt section, migrating through a thin channel in the cement behind the 22-inch casing. Fluid samples contained trace hydrocarbons and high chlorides indicative of seawater. The well was temporarily abandoned on April 25, 2021.",Shallow Water Flow from Low-Pressure Wellhead Housing,Loss of Containment,drilling,"[""crude oil"", ""seawater"", ""drilling mud"", ""cement""]",Gulf of Mexico,Shell Offshore Inc.,"On March 28, 2021, at approximately 1921 hours, personnel observed a steady flow from the Lower Cement Port 1 on the 38-inch Low-Pressure Wellhead Housing during riserless drilling operations with the Transocean Deepwater Poseidon drillship at Garden Banks Block 962. The flow occurred approximately 7 hours after 22-inch casing cement was placed. Analysis revealed the flow originated from above the top of salt in a dirty salt section, migrating through a thin channel in the cement behind the 22-inch casing. Fluid samples contained trace hydrocarbons and high chlorides indicative of seawater. The well was temporarily abandoned on April 25, 2021.","[""Setting an additional casing string, such as a 28-inch casing, just above the dirty salt section would have possibly led to much better isolation of the dirty salt section when running and conducting the cement job on the 22-inch casing""]"
gb-978-chevron-28-oct-2015,"Top Event: Loss of Hand Function - Finger Amputation and Crushing Injury
Incident Type: Crush Injury / Lost Time Accident
Operating Phase: production
Materials: crude oil, drilling fluid
Summary: While removing a gearbox coupling and mud agitator shaft for repair on the T.O. Discoverer India, the injured person (IP) and mechanic deviated from the written risk assessment (WRA) procedure. The IP installed support beams out of sequence and attempted to adjust a safety clamp without first securing it properly. While hammering an Allen wrench onto a corroded bolt head on the agitator shaft, the 750-pound shaft and coupling suddenly separated from the gearbox output shaft and fell, crushing the IP's fourth and fifth fingers between the wrench and support beams. The incident was preceded by three prior unexpected separations of the agitator shaft from the gearbox output shaft (2010, 2014, 2015), but no additional precautionary measures were implemented.",Loss of Hand Function - Finger Amputation and Crushing Injury,Crush Injury / Lost Time Accident,production,"[""crude oil"", ""drilling fluid""]",Gulf of Mexico,Chevron U.S.A. Inc.,"While removing a gearbox coupling and mud agitator shaft for repair on the T.O. Discoverer India, the injured person (IP) and mechanic deviated from the written risk assessment (WRA) procedure. The IP installed support beams out of sequence and attempted to adjust a safety clamp without first securing it properly. While hammering an Allen wrench onto a corroded bolt head on the agitator shaft, the 750-pound shaft and coupling suddenly separated from the gearbox output shaft and fell, crushing the IP's fourth and fifth fingers between the wrench and support beams. The incident was preceded by three prior unexpected separations of the agitator shaft from the gearbox output shaft (2010, 2014, 2015), but no additional precautionary measures were implemented.","[""Update procedures and WRAs to include hazards associated with unexpected coupling failure and separation of agitator shaft from gearbox output shaft"", ""Implement additional precautionary measures to mitigate the hazard of unexpected coupling failure"", ""Enforce company policy requiring all participating members of a job task to individually sign the WRA"", ""Ensure personnel wear appropriate personal protective equipment (impact gloves) during repair tasks""]"
gb1003-18sep20,"Top Event: Slip/Trip/Fall with Ankle Injury
Incident Type: Slip/Trip/Fall
Operating Phase: production
Materials: N/A
Summary: On 18 September 2020 at 0640 hours, a third-party contracted Floorhand employed by Prime Ocean sustained a fractured fibula to his left ankle when his foot slipped into a 4.5-inch HydraRacker track gap while removing bushings from 5-inch drill pipe elevator inserts on the Pacific Drilling Khamsin drillship. The worker lost balance and fell, striking his ankle on the HydraRacker track. He was evacuated by helicopter and required surgery.",Slip/Trip/Fall with Ankle Injury,Slip/Trip/Fall,production,[],Gulf of Mexico - Garden Banks Block 1003,"Total E&P USA, Inc.","On 18 September 2020 at 0640 hours, a third-party contracted Floorhand employed by Prime Ocean sustained a fractured fibula to his left ankle when his foot slipped into a 4.5-inch HydraRacker track gap while removing bushings from 5-inch drill pipe elevator inserts on the Pacific Drilling Khamsin drillship. The worker lost balance and fell, striking his ankle on the HydraRacker track. He was evacuated by helicopter and required surgery.",[]
gb128-2feb2020-shell-2010-7july2020-redacted,"Top Event: Worker injury from uncontrolled sandblasting nozzle
Incident Type: Human Error
Operating Phase: production
Materials: abrasive blasting material, crude oil
Summary: On February 2, 2020, at approximately 1600 hours, a sandblaster at Garden Banks 128-A sustained a laceration to the right bicep when he lost control of a sandblasting nozzle pressurized at 85 lbs while standing on an improperly secured scaffold board placed across two vessels. The board shifted during repositioning, causing the worker to lose his grip on the nozzle. The nozzle whipped and became lodged under the worker's right arm pit, blasting through his clothing before the dead-man switch could shut down the system.",Worker injury from uncontrolled sandblasting nozzle,Human Error,production,"[""abrasive blasting material"", ""crude oil""]",Gulf of Mexico,Shell Offshore Inc.,"On February 2, 2020, at approximately 1600 hours, a sandblaster at Garden Banks 128-A sustained a laceration to the right bicep when he lost control of a sandblasting nozzle pressurized at 85 lbs while standing on an improperly secured scaffold board placed across two vessels. The board shifted during repositioning, causing the worker to lose his grip on the nozzle. The nozzle whipped and became lodged under the worker's right arm pit, blasting through his clothing before the dead-man switch could shut down the system.","[""Incorporate do's and don'ts into Cable Rigging training course to prohibit laying boards from vessel to vessel"", ""Incorporate depressurization of hoses prior to moving or repositioning as best practice in Abrasive Blasting Procedure"", ""Document hose depressurization requirement on Job Safety Analysis"", ""Designate a specific employee to maintain constant visual contact with workers at heights"", ""Construct proper scaffolds between vessels instead of using unsecured boards""]"
gb2025920hess2002-jun-2025,"Top Event: Hand Injury - Partial Amputation
Incident Type: Caught by Moving Equipment
Operating Phase: drilling
Materials: N/A
Summary: On 02 June 2025 at 2230 hours, a Transocean Second Engineer suffered a partial amputation of the left hand middle and ring fingertips while checking the tension on an air handling unit (AHU) belt in the Mud Module Electrical Room. The engineer placed his left hand on a moving belt without proper energy isolation (LOTO), supervision, or communication of the task change. The belt drew his hand between the belt and pulley, causing the injury.",Hand Injury - Partial Amputation,Caught by Moving Equipment,drilling,[],"Gulf of America, Garden Banks Block 259",Hess Corporation,"On 02 June 2025 at 2230 hours, a Transocean Second Engineer suffered a partial amputation of the left hand middle and ring fingertips while checking the tension on an air handling unit (AHU) belt in the Mud Module Electrical Room. The engineer placed his left hand on a moving belt without proper energy isolation (LOTO), supervision, or communication of the task change. The belt drew his hand between the belt and pulley, causing the injury.",[]
gb2066820anadarko2015-nov-2024,"Top Event: Gas Release
Incident Type: Loss of Containment
Operating Phase: well abandonment
Materials: natural gas, hydrocarbon, calcium bromide brine (CaBr2), nitrogen
Summary: On 15 November 2024 at 0837 hours, a gas release occurred in the shaker house aboard the Valaris DS-16 drillship during well abandonment operations. While displacing the kill line and landing string back to calcium bromide brine after nitrogen displacement, hydrocarbons were released into the shaker house atmosphere. The incident was triggered by a compromised liquid leg in the mud gas separator, allowing hydrocarbon gas to bypass the separator and enter the shaker house. A hydrocarbon alarm activated, prompting evacuation and crew muster. Gas levels returned to zero and operations resumed without further issues.",Gas Release,Loss of Containment,well abandonment,"[""natural gas"", ""hydrocarbon"", ""calcium bromide brine (CaBr2)"", ""nitrogen""]",Gulf of America - Garden Banks 668,Anadarko Petroleum Corporation / OXY,"On 15 November 2024 at 0837 hours, a gas release occurred in the shaker house aboard the Valaris DS-16 drillship during well abandonment operations. While displacing the kill line and landing string back to calcium bromide brine after nitrogen displacement, hydrocarbons were released into the shaker house atmosphere. The incident was triggered by a compromised liquid leg in the mud gas separator, allowing hydrocarbon gas to bypass the separator and enter the shaker house. A hydrocarbon alarm activated, prompting evacuation and crew muster. Gas levels returned to zero and operations resumed without further issues.","[""Safety meeting with all crews on importance of circulating fluids/gases from well and impact on mud gas separator liquid leg""]"
gb2095920shell2003-aug-2025_0,"Top Event: Drill pipe parting and loss of drill string
Incident Type: Equipment Failure - Structural Damage
Operating Phase: drilling
Materials: crude oil, drilling fluid, salt formation
Summary: On 03 August 2025 at 1934 hours, during drilling of the 26-inch top-hole open water section of Well SP202 at Garden Banks Block 959, a torque spike of 71.8 kft-lbf occurred while drilling salt at 9699 feet depth. This caused a 410 kips reduction in hook load, full loss of torque, loss of hook load, and loss of pump pressure. The drill string separated below the water line. Approximately 4128 feet of 6.625-inch drill pipe fell to the seafloor, with an additional 5350 feet of bottom hole assembly and drill pipe left in the wellbore. The ROV tether was trapped in at least three locations by the fallen pipe. No injuries were reported and no personnel were in the red zone at the time of incident.",Drill pipe parting and loss of drill string,Equipment Failure - Structural Damage,drilling,"[""crude oil"", ""drilling fluid"", ""salt formation""]","Gulf of America, Garden Banks Block 959",Shell Offshore Inc.,"On 03 August 2025 at 1934 hours, during drilling of the 26-inch top-hole open water section of Well SP202 at Garden Banks Block 959, a torque spike of 71.8 kft-lbf occurred while drilling salt at 9699 feet depth. This caused a 410 kips reduction in hook load, full loss of torque, loss of hook load, and loss of pump pressure. The drill string separated below the water line. Approximately 4128 feet of 6.625-inch drill pipe fell to the seafloor, with an additional 5350 feet of bottom hole assembly and drill pipe left in the wellbore. The ROV tether was trapped in at least three locations by the fallen pipe. No injuries were reported and no personnel were in the red zone at the time of incident.",[]
gb491-kosmos-energy-22-nov-2019,"Top Event: Arc Flash Fire
Incident Type: Fire
Operating Phase: production
Materials: drilling fluid, hydraulic fluid, diesel
Summary: On 22-November-2019 at Garden Banks 491, during tripping in operations with an 11-7/8"" Easy Drill Subsurface Valve, a loss of power to drilling equipment occurred. Personnel received an alarm indicating smoke or fire in the Port Switch Gear Room. Investigation revealed that condensation accumulated on top of the Drilling Drive DC Bar cabinet from the Air Handling Unit ducting vent and ran inside the cabinet, causing an Arc Flash fire. The fire was extinguished by mechanics using a handheld fire extinguisher. Damage to the Drilling Drive DC Bar Cabinet, AHU ductwork, vent, and insulation totaled $65,000.",Arc Flash Fire,Fire,production,"[""drilling fluid"", ""hydraulic fluid"", ""diesel""]",Gulf of Mexico,Kosmos Energy Gulf of Mexico,"On 22-November-2019 at Garden Banks 491, during tripping in operations with an 11-7/8"" Easy Drill Subsurface Valve, a loss of power to drilling equipment occurred. Personnel received an alarm indicating smoke or fire in the Port Switch Gear Room. Investigation revealed that condensation accumulated on top of the Drilling Drive DC Bar cabinet from the Air Handling Unit ducting vent and ran inside the cabinet, causing an Arc Flash fire. The fire was extinguished by mechanics using a handheld fire extinguisher. Damage to the Drilling Drive DC Bar Cabinet, AHU ductwork, vent, and insulation totaled $65,000.","[""Remind lessees about hazards of storing combustible materials near electrical transformers or batteries"", ""Prevent possibility of condensation in Switch Gear or ECR Rooms"", ""Clean all areas with electrical cabinets frequently to prevent accumulation of dust or debris"", ""Learn from past experiences to avoid duplicating same outcome""]"
